Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2020-03-19,280.7876281738281,288.72681496526405,278.404956901347,285.56217921868273,5429500
2020-03-20,267.1723327636719,283.35427662983756,264.04447513624103,283.27148436200923,6581200
2020-03-23,262.673828125,272.0021525614367,256.1329845071944,268.6351257096595,5646400
2020-03-24,262.1310729980469,273.54767841668183,260.189960065213,271.0086024177015,7124200
2020-03-25,258.3775634765625,267.44829981844424,256.8596491243589,261.4594066005466,5639600
2020-03-26,268.9017639160156,270.2173156614625,258.37751840056075,258.81910514812546,5463100
2020-03-27,261.5697937011719,269.9965526831724,260.6498422150324,264.1456747071772,4250400
2020-03-30,267.8162841796875,268.33145478908483,262.95894123773206,264.47685564308824,4396000
2020-03-31,262.3057861328125,268.1842618530726,261.2662364044636,264.41248301262164,5618600
2020-04-01,263.8236999511719,265.6819919440447,258.4143804361509,259.75750181565905,3745800
2020-04-02,268.1474304199219,269.343355948682,260.18064833574437,261.61577020013146,3500600
2020-04-03,265.54400634765625,268.938629775485,262.9221388442943,266.0131906168548,2650100
2020-04-06,280.695556640625,281.03593415450564,266.390324111941,269.54575056320294,5272500
2020-04-07,279.32489013671875,285.18497694522296,278.9477066369571,281.96514656035754,4036500
2020-04-08,281.4775695800781,282.81151052287726,278.08294620259744,280.6863966687462,3964400
2020-04-09,275.99468994140625,279.98727653729594,273.7591862049623,275.4795192886911,6487600
2020-04-13,275.6358337402344,279.6192390206521,273.8327368586898,274.6790764241401,3120400
2020-04-14,288.9935302734375,289.5546871205218,277.1353439080451,278.5152709316536,4288300
2020-04-15,285.4333190917969,288.63476016401023,282.25950351409,286.6936761292761,2937300
2020-04-16,295.8196716308594,296.80402670517276,287.061741399066,289.5364137617501,3940000
2020-04-17,292.4710693359375,296.3440582978033,288.88323509260385,295.5896911335856,3688000
2020-04-20,287.0985107421875,292.8942232275432,286.5925485431307,292.4986507392117,3156300
2020-04-21,277.2090759277344,286.9237931985444,275.38758925015304,286.23382931771454,3833000
2020-04-22,284.6513671875,286.22447617994925,277.8621215389355,279.6652183754435,2970600
2020-04-23,280.9532470703125,284.8538614177722,280.3920900021663,282.45277285197267,2625200
2020-04-24,285.69091796875,285.9485032575338,281.05438277064184,282.728673110391,2019400
2020-04-27,284.06256103515625,288.21155037831863,282.9678167431674,287.9907429757313,2287300
2020-04-28,280.53924560546875,286.35331825543255,279.92286569388335,285.9485373141782,2425900
2020-04-29,282.5079040527344,283.97062357543336,277.0157924497326,280.53922243260763,3667700
2020-04-30,279.3822021484375,283.90025853561144,278.9857259086109,282.28666495884653,3794300
2020-05-01,278.38629150390625,281.0602399350177,276.78189993417675,278.2571905599436,2525400
2020-05-04,280.7559814453125,281.71492469174336,276.68052189093686,279.38213112506423,2477500
2020-05-05,283.9185791015625,285.65201514744643,279.7877714303158,281.2814928247236,2460900
2020-05-06,284.8131103515625,286.7955196877514,282.6462790655165,285.7628243017649,2406700
2020-05-07,281.2262268066406,285.7166214013075,280.7928606758444,285.22793432945906,2601800
2020-05-08,282.093017578125,283.2363547821222,280.0276269802368,282.0561275634952,2337400
2020-05-11,286.1407470703125,287.5238268214713,281.22621606894677,281.81634360274603,1865900
2020-05-12,281.0787353515625,287.2657053524499,281.03264394033215,286.6110553632714,2264900
2020-05-13,278.5892333984375,282.51716182720764,276.72666748403645,281.07876074531936,2954900
2020-05-14,276.3762512207031,279.27151213211727,271.5815908731679,277.54727693785713,3718900
2020-05-15,275.88751220703125,276.45918065175647,272.7986285595209,275.75843939959105,4577200
2020-05-18,279.160888671875,279.5573648695948,276.54226046491937,278.20194528350777,3987300
2020-05-19,280.8851623535156,284.9329625884273,279.52051304282253,280.8759328140821,3523000
2020-05-20,281.1432800292969,283.9186695155854,279.5665767374118,282.8582856908501,2827000
2020-05-21,278.4324645996094,281.26317527340353,277.7685850301664,281.0326619248308,2492100
2020-05-22,278.8565673828125,280.248876843363,277.38127650352385,278.4693207620345,2366400
2020-05-26,281.04180908203125,282.9781264640917,279.8708116272706,282.1575137337496,3234600
2020-05-27,282.15753173828125,282.4341364652982,276.12729543981584,280.820543233756,2980200
2020-05-28,285.4308166503906,286.75857565048995,282.9781515012859,283.30087578332166,4301900
2020-05-29,284.4258117675781,284.80385703603747,278.7828494946463,280.48865390248216,4971800
2020-06-01,284.25982666015625,285.59678709442306,282.5724533223067,283.9002123577563,2293700
2020-06-02,283.1533508300781,284.93290698541335,280.9680889625955,283.9463313179422,2528900
2020-06-03,282.73846435546875,284.17686538940023,282.07458479066685,283.53141676237414,2165900
2020-06-04,286.52801513671875,290.76946523633944,284.9974035376073,286.62022607909006,4553900
2020-06-05,287.71746826171875,289.1835293704097,283.3377158683765,288.72250280268946,4375600
2020-06-08,283.2455139160156,287.0259375190611,282.5724049758043,286.4450395230859,3764500
2020-06-09,281.7333679199219,284.54564730194573,281.3830113107989,283.53138306808194,3155800
2020-06-10,283.3746337890625,284.57331998554815,281.8255909684204,282.5909109799703,2713700
2020-06-11,277.3812255859375,285.0988337778964,277.2060613821998,283.0610761383335,3443000
2020-06-12,275.4173583984375,281.3645858709165,273.15831634109475,279.07791147630877,4020000
2020-06-15,274.01580810546875,274.8364490945254,270.9361532896922,273.89593666762136,3266800
2020-06-16,277.8700256347656,279.14246395040954,275.8968458026582,277.86082423429644,2633800
2020-06-17,276.25640869140625,278.46012984817094,275.60175864911434,277.5565073762982,2188400
2020-06-18,276.2195739746094,277.36291131111733,274.5783198688184,276.61605022661263,1881800
2020-06-19,276.5238037109375,278.36791047545034,275.36203558370295,276.78197753241585,3438000
2020-06-22,277.031005859375,277.9807199091981,275.002476753519,276.3394656831298,2094400
2020-06-23,277.805419921875,281.1340185081541,277.2890723746341,278.2111255859687,2409600
2020-06-24,274.7903137207031,277.79621647639897,273.4810137953818,277.32596029002525,2398100
2020-06-25,277.1047058105469,277.6763744135152,272.37456738964875,273.9051794027645,2274300
2020-06-26,273.444091796875,278.5707052825732,272.8816528575691,276.9940022064212,2866000
2020-06-29,278.0820007324219,278.1188907365777,273.69301881921587,274.25548586198573,1841700
2020-06-30,279.5757141113281,280.8758123661451,276.74503246425274,277.5472141634568,2391700
2020-07-01,280.99578857421875,281.7610805557767,277.3075747783307,278.9211683140317,1906100
2020-07-02,281.9085998535156,284.84075107539024,280.8574736009785,282.148342743935,2540500
2020-07-06,287.2103271484375,287.2748776223597,283.2916012546699,283.5590045474697,2332400
2020-07-07,291.5809326171875,293.259048280425,285.57835647684135,285.85496121835456,3346600
2020-07-08,291.6638488769531,293.2589827613565,289.53390842666334,292.4199391866116,2364500
2020-07-09,300.1651916503906,303.337056751451,294.761945535429,295.05700929804607,5313600
2020-07-10,300.8013916015625,301.88017796600826,297.92456230577653,300.58930925953035,2484100
2020-07-13,297.7494812011719,303.45696556984234,296.4401530585195,300.8659978984159,2583200
2020-07-14,302.43341064453125,303.0419690548045,295.4719211367504,296.2741028152111,1844800
2020-07-15,301.2348327636719,303.650607974808,300.23899941416215,302.5257017918933,1770700
2020-07-16,300.8383483886719,302.34129991140674,298.8006182826678,301.1610727018271,1402000
2020-07-17,299.4737243652344,302.2490858971763,299.2800728959922,301.78805920841376,1768100
2020-07-20,301.05963134765625,301.91713416151396,297.5097205224333,299.5659095070439,1863300
2020-07-21,302.19378662109375,305.6514870348233,301.050449355382,301.51147607721265,1874200
2020-07-22,302.7099914550781,303.96399817891006,299.67645731686594,303.95476864440053,1312600
2020-07-23,300.6907043457031,304.6278888481565,299.97150409771706,302.5256090356723,1561700
2020-07-24,300.3865661621094,303.12506598262377,299.3631003585135,300.792271923581,1423400
2020-07-27,302.0645751953125,303.35544379646865,299.8331945042372,300.2942210145662,2083300
2020-07-28,302.0369873046875,304.2775699299429,300.4233941308166,302.4058029738059,1374000
2020-07-29,300.71844482421875,302.4703402803534,300.02690492267897,301.5298280054077,1341300
2020-07-30,300.14556884765625,301.65175298577765,297.5397789227846,298.17736641928207,1390300
